Schedule,Threads,Size,Chunk size,Time
static,1,65536,4,0.00365808
static,1,65536,8,0.00363585
static,1,65536,16,0.00362944
static,1,65536,32,0.00358787
static,1,65536,64,0.003574
static,2,65536,4,0.00189556
static,2,65536,8,0.00186241
static,2,65536,16,0.00184081
static,2,65536,32,0.00199552
static,2,65536,64,0.00189014
static,3,65536,4,0.00144491
static,3,65536,8,0.00129175
static,3,65536,16,0.00125108
static,3,65536,32,0.00126559
static,3,65536,64,0.00131013
static,4,65536,4,0.00112816
static,4,65536,8,0.00109203
static,4,65536,16,0.00100478
static,4,65536,32,0.00109642
static,4,65536,64,0.00106946
dynamic,1,65536,4,0.00396159
dynamic,1,65536,8,0.00378113
dynamic,1,65536,16,0.00379411
dynamic,1,65536,32,0.00362593
dynamic,1,65536,64,0.00358342
dynamic,2,65536,4,0.00339422
dynamic,2,65536,8,0.0026547
dynamic,2,65536,16,0.00232117
dynamic,2,65536,32,0.00195486
dynamic,2,65536,64,0.00188837
dynamic,3,65536,4,0.00296349
dynamic,3,65536,8,0.00231465
dynamic,3,65536,16,0.00175591
dynamic,3,65536,32,0.00139601
dynamic,3,65536,64,0.00131817
dynamic,4,65536,4,0.00304508
dynamic,4,65536,8,0.00232511
dynamic,4,65536,16,0.00159761
dynamic,4,65536,32,0.00118992
dynamic,4,65536,64,0.00112122
guided,1,65536,4,0.00358767
guided,1,65536,8,0.00357239
guided,1,65536,16,0.00357096
guided,1,65536,32,0.0036169
guided,1,65536,64,0.00357762
guided,2,65536,4,0.0018095
guided,2,65536,8,0.00180388
guided,2,65536,16,0.00183684
guided,2,65536,32,0.00180225
guided,2,65536,64,0.00181422
guided,3,65536,4,0.00123389
guided,3,65536,8,0.00120977
guided,3,65536,16,0.00129258
guided,3,65536,32,0.00122946
guided,3,65536,64,0.00121049
guided,4,65536,4,0.00100399
guided,4,65536,8,0.00102672
guided,4,65536,16,0.00106438
guided,4,65536,32,0.00104799
guided,4,65536,64,0.00100102
runtime,1,65536,0,0.00357849
runtime,2,65536,0,0.00188413
runtime,3,65536,0,0.00123809
runtime,4,65536,0,0.0010786
static,1,131072,4,0.00719343
static,1,131072,8,0.00718112
static,1,131072,16,0.00718074
static,1,131072,32,0.00717491
static,1,131072,64,0.00719322
static,2,131072,4,0.00390584
static,2,131072,8,0.00372594
static,2,131072,16,0.00372822
static,2,131072,32,0.00371315
static,2,131072,64,0.00368166
static,3,131072,4,0.00257747
static,3,131072,8,0.00266384
static,3,131072,16,0.00279092
static,3,131072,32,0.0025208
static,3,131072,64,0.00257485
static,4,131072,4,0.00225715
static,4,131072,8,0.00223188
static,4,131072,16,0.00210479
static,4,131072,32,0.00216013
static,4,131072,64,0.00196368
dynamic,1,131072,4,0.00780194
dynamic,1,131072,8,0.0074963
dynamic,1,131072,16,0.00730984
dynamic,1,131072,32,0.00722934
dynamic,1,131072,64,0.00717753
dynamic,2,131072,4,0.00555899
dynamic,2,131072,8,0.00469517
dynamic,2,131072,16,0.00478296
dynamic,2,131072,32,0.00438626
dynamic,2,131072,64,0.00385523
dynamic,3,131072,4,0.00545191
dynamic,3,131072,8,0.00458972
dynamic,3,131072,16,0.0038161
dynamic,3,131072,32,0.0029654
dynamic,3,131072,64,0.00268568
dynamic,4,131072,4,0.00611378
dynamic,4,131072,8,0.00407064
dynamic,4,131072,16,0.00318108
dynamic,4,131072,32,0.0024699
dynamic,4,131072,64,0.00212234
guided,1,131072,4,0.00713827
guided,1,131072,8,0.0071469
guided,1,131072,16,0.00713996
guided,1,131072,32,0.00712978
guided,1,131072,64,0.00713431
guided,2,131072,4,0.00359358
guided,2,131072,8,0.00358431
guided,2,131072,16,0.00370106
guided,2,131072,32,0.00358763
guided,2,131072,64,0.00386483
guided,3,131072,4,0.00256544
guided,3,131072,8,0.00243386
guided,3,131072,16,0.00242837
guided,3,131072,32,0.00244389
guided,3,131072,64,0.00243022
guided,4,131072,4,0.00187806
guided,4,131072,8,0.00184259
guided,4,131072,16,0.00185346
guided,4,131072,32,0.00198688
guided,4,131072,64,0.00184152
runtime,1,131072,0,0.00714021
runtime,2,131072,0,0.00361
runtime,3,131072,0,0.00241846
runtime,4,131072,0,0.00217674
static,1,262144,4,0.0143257
static,1,262144,8,0.0144192
static,1,262144,16,0.0143093
static,1,262144,32,0.0143396
static,1,262144,64,0.0143027
static,2,262144,4,0.00738336
static,2,262144,8,0.00737834
static,2,262144,16,0.00742267
static,2,262144,32,0.00754872
static,2,262144,64,0.00839792
static,3,262144,4,0.00517076
static,3,262144,8,0.00516923
static,3,262144,16,0.00517293
static,3,262144,32,0.00507761
static,3,262144,64,0.00526426
static,4,262144,4,0.00417248
static,4,262144,8,0.00418638
static,4,262144,16,0.00423582
static,4,262144,32,0.00411407
static,4,262144,64,0.00404109
dynamic,1,262144,4,0.0156133
dynamic,1,262144,8,0.0149643
dynamic,1,262144,16,0.0146035
dynamic,1,262144,32,0.0144371
dynamic,1,262144,64,0.0143573
dynamic,2,262144,4,0.0112928
dynamic,2,262144,8,0.00991486
dynamic,2,262144,16,0.0100597
dynamic,2,262144,32,0.00873334
dynamic,2,262144,64,0.00764747
dynamic,3,262144,4,0.0107374
dynamic,3,262144,8,0.00825402
dynamic,3,262144,16,0.0077612
dynamic,3,262144,32,0.00602018
dynamic,3,262144,64,0.00521389
dynamic,4,262144,4,0.0112203
dynamic,4,262144,8,0.00883416
dynamic,4,262144,16,0.00650512
dynamic,4,262144,32,0.0049491
dynamic,4,262144,64,0.00417072
guided,1,262144,4,0.0142649
guided,1,262144,8,0.0143553
guided,1,262144,16,0.0143005
guided,1,262144,32,0.014299
guided,1,262144,64,0.0143028
guided,2,262144,4,0.0073354
guided,2,262144,8,0.00721432
